iter	Passed	Remaining
0	9	3717
1	17	3386
2	23	3076
3	29	2937
4	36	2878
5	44	2901
6	50	2825
7	57	2813
8	66	2867
9	76	3001
10	83	2954
11	89	2885
12	98	2918
13	104	2894
14	111	2861
15	117	2826
16	125	2824
17	132	2802
18	137	2760
19	144	2741
20	150	2708
21	154	2662
22	160	2629
23	165	2595
24	171	2570
25	176	2544
26	182	2517
27	186	2478
28	191	2452
29	196	2421
30	201	2396
31	205	2365
32	210	2344
33	215	2324
34	220	2301
35	224	2274
36	230	2257
37	234	2230
38	239	2212
39	244	2196
40	248	2177
41	253	2156
42	257	2137
43	261	2117
44	266	2100
45	271	2085
46	275	2071
47	280	2056
48	285	2043
49	289	2023
50	292	2004
51	297	1991
52	301	1975
53	305	1959
54	310	1949
55	315	1935
56	318	1919
57	323	1906
58	327	1891
59	333	1887
60	337	1877
61	342	1869
62	346	1856
63	352	1848
64	358	1848
65	362	1836
66	366	1823
67	371	1811
68	376	1804
69	380	1791
70	384	1782
71	389	1773
72	394	1764
73	399	1761
74	406	1759
75	411	1752
76	417	1750
77	422	1742
78	427	1737
79	432	1728
80	437	1722
81	442	1715
82	448	1711
83	452	1703
84	457	1697
85	462	1689
86	468	1683
87	473	1677
88	478	1671
89	483	1664
90	488	1659
91	493	1650
92	497	1640
93	501	1633
94	506	1626
95	510	1616
96	515	1610
97	519	1601
98	523	1592
99	528	1586
100	533	1578
101	537	1570
102	543	1565
103	549	1562
104	553	1553
105	557	1546
106	562	1541
107	567	1533
108	571	1526
109	576	1520
110	581	1512
111	585	1505
112	590	1500
113	595	1493
114	599	1484
115	604	1480
116	609	1473
117	613	1465
118	618	1459
119	622	1453
120	626	1444
121	631	1438
122	635	1430
123	639	1423
124	645	1419
125	650	1414
126	654	1406
127	658	1400
128	664	1395
129	669	1390
130	673	1383
131	679	1380
132	685	1375
133	691	1372
134	696	1367
135	702	1363
136	706	1357
137	713	1354
138	720	1352
139	725	1347
140	731	1344
141	737	1339
142	743	1336
143	748	1329
144	753	1324
145	758	1319
146	762	1313
147	767	1307
148	773	1302
149	779	1299
150	784	1293
151	789	1288
152	794	1282
153	799	1277
154	808	1277
155	813	1272
156	818	1267
157	823	1260
158	828	1255
159	834	1251
160	840	1246
161	845	1241
162	851	1237
163	857	1234
164	862	1227
165	867	1222
166	871	1216
167	878	1213
168	883	1207
169	888	1201
170	895	1199
171	901	1195
172	907	1191
173	913	1185
174	917	1180
175	922	1174
176	928	1169
177	935	1166
178	940	1161
179	946	1156
180	951	1150
181	955	1145
182	962	1140
183	966	1134
184	970	1128
185	975	1122
186	980	1116
187	986	1112
188	991	1107
189	997	1102
190	1002	1097
191	1007	1091
192	1014	1088
193	1022	1085
194	1027	1080
195	1034	1076
196	1040	1072
197	1047	1068
198	1052	1062
199	1057	1057
200	1064	1054
201	1071	1050
202	1078	1047
203	1084	1041
204	1089	1036
205	1094	1030
206	1099	1024
207	1105	1020
208	1111	1015
209	1117	1010
210	1122	1005
211	1129	1001
212	1133	995
213	1139	990
214	1145	985
215	1151	980
216	1156	975
217	1161	969
218	1166	964
219	1173	959
220	1178	954
221	1184	949
222	1189	943
223	1194	938
224	1199	932
225	1206	928
226	1212	924
227	1217	918
228	1222	912
229	1229	908
230	1236	904
231	1242	899
232	1249	895
233	1255	890
234	1263	887
235	1268	881
236	1274	876
237	1282	873
238	1288	868
239	1296	864
240	1302	859
241	1308	854
242	1314	849
243	1321	844
244	1327	840
245	1334	835
246	1340	830
247	1348	826
248	1355	821
249	1362	817
250	1368	812
251	1375	807
252	1382	803
253	1388	798
254	1395	793
255	1402	789
256	1412	786
257	1420	781
258	1426	776
259	1431	770
260	1437	765
261	1443	760
262	1451	756
263	1459	751
264	1467	747
265	1473	742
266	1480	737
267	1486	732
268	1491	726
269	1496	720
270	1503	715
271	1509	710
272	1518	706
273	1525	701
274	1532	696
275	1539	691
276	1544	685
277	1550	680
278	1556	675
279	1562	669
280	1567	663
281	1572	657
282	1579	653
283	1585	647
284	1591	642
285	1597	636
286	1604	631
287	1609	625
288	1614	620
289	1619	614
290	1625	608
291	1631	603
292	1637	598
293	1642	592
294	1647	586
295	1652	580
296	1659	575
297	1665	570
298	1672	565
299	1678	559
300	1685	554
301	1690	548
302	1698	543
303	1704	538
304	1711	533
305	1717	527
306	1723	522
307	1728	516
308	1735	511
309	1742	505
310	1747	499
311	1753	494
312	1760	489
313	1765	483
314	1772	478
315	1778	472
316	1784	467
317	1788	461
318	1793	455
319	1798	449
320	1803	443
321	1807	437
322	1813	432
323	1818	426
324	1822	420
325	1827	414
326	1832	409
327	1837	403
328	1841	397
329	1848	392
330	1855	386
331	1861	381
332	1867	375
333	1873	370
334	1878	364
335	1882	358
336	1889	353
337	1894	347
338	1899	341
339	1903	335
340	1909	330
341	1913	324
342	1917	318
343	1921	312
344	1928	307
345	1933	301
346	1937	295
347	1941	290
348	1946	284
349	1950	278
350	1954	272
351	1959	267
352	1963	261
353	1968	255
354	1972	250
355	1977	244
356	1982	238
357	1987	233
358	1991	227
359	1995	221
360	2000	216
361	2005	210
362	2009	204
363	2014	199
364	2019	193
365	2023	187
366	2028	182
367	2033	176
368	2037	171
369	2042	165
370	2048	160
371	2052	154
372	2056	148
373	2061	143
374	2065	137
375	2069	132
376	2073	126
377	2077	120
378	2082	115
379	2086	109
380	2090	104
381	2094	98
382	2099	93
383	2103	87
384	2108	82
385	2112	76
386	2116	71
387	2120	65
388	2124	60
389	2128	54
390	2132	49
391	2136	43
392	2140	38
393	2144	32
394	2149	27
395	2153	21
396	2156	16
397	2161	10
398	2164	5
399	2169	0
